name;turning-left-and-right;tunnel;zig-zag;triple-slalom;diamonds-with-signals;wormhole-cloud;two-color-tracks;shooting;diamond-lines;n;beware-of-asteroid;shot;ladder;wormhole-demo;yellow-is-not-red;2diamonds-2meteorids;five-diamonds;steal-the-nose;dont-forget-shot;three-steps-forward;turning-right-and-left;on-yellow-to-left;slalom-position-testing;edge-wormholes;diamond-on-right;diamonds-in-meteoroid-cloud;six-diamonds;cross-2;big-slalom;direction-change;bouncing-from-edge;plan-your-shooting;yellow-hint;diamond-path;colorful-flowers;turning-left;chessboard;find-the-path;arrow;turning-right;double-bend;edge-to-edge;one-step-forward;diamond-cross;stairs;direct-flight-ahead;diagonal-diamonds;color-slalom;two-bit-instructions;two-diamonds;red-shooting;diamonds-on-yellow;diagonal-lines;clean-your-path;triple-steps;color-navigation;follow-colors;meteoroids-on-left;collect-diamonds;diamond-ring;maneuvers-on-left;zig-zag-plus;triangle;rectangle;wave;surrounded-diamond;plus;meteoroids-and-wormholes;letter-h;stripes;narrow-passage;big-right-turn;big-left-turn;four-vs;stop-on-red;turning-in-square;double-track;blocked-wormhole;letter-d;yellow-squares;free-column;last-shot;letter-e;belgian-flag;mirror;diamond-in-house
beware-of-asteroid;2;7;5;11;9;5;19;4;11;13;0;2;5;3;12;7;11;5;5;2;0;9;13;21;3;6;14;38;12;10;14;9;10;3;20;3;12;6;21;3;13;17;2;10;10;6;22;15;29;9;15;13;23;10;21;20;17;20;15;14;15;18;13;10;18;5;2;13;14;9;15;9;13;12;12;27;18;10;18;10;14;4;14;19;38;15
shot;2;7;7;11;11;5;20;2;12;13;2;0;4;3;12;6;10;5;5;1;2;10;14;23;3;5;16;39;14;11;16;8;10;5;21;2;12;6;22;2;14;19;2;10;10;5;23;16;28;10;14;14;25;10;22;21;19;20;15;14;13;20;14;8;18;6;4;12;12;9;15;10;14;14;10;28;18;8;20;9;12;4;15;21;39;16
ladder;5;8;5;10;9;3;17;5;10;10;5;4;0;5;11;8;9;4;7;5;5;8;12;20;5;3;14;36;11;9;13;5;9;6;19;5;10;3;20;5;10;17;5;7;7;4;20;14;27;8;13;12;23;8;19;19;17;18;13;12;12;17;11;6;15;7;6;11;11;6;13;7;11;10;9;26;16;7;18;7;11;6;13;19;36;14
wormhole-demo;2;5;6;10;11;5;19;3;12;13;3;3;5;0;10;7;10;5;4;2;3;10;14;22;0;5;15;38;13;11;15;9;9;5;20;2;12;7;22;1;13;18;3;9;10;5;22;15;29;10;14;13;23;11;21;21;19;19;15;13;14;18;13;9;17;4;2;12;13;8;14;9;14;13;11;28;18;9;20;10;13;3;15;20;37;16
yellow-is-not-red;10;9;9;7;9;10;16;12;10;11;12;12;11;10;0;10;6;9;10;11;12;9;9;19;10;9;12;33;12;7;12;10;6;11;15;10;9;9;17;10;10;14;12;6;11;9;18;9;24;9;11;10;16;9;16;15;14;14;12;9;12;15;11;10;13;11;12;9;10;10;11;9;11;12;7;22;15;9;15;9;9;10;13;16;32;8
2diamonds-2meteorids;6;5;8;11;11;8;18;6;12;12;7;6;8;7;10;0;10;7;6;7;7;10;11;22;7;7;15;38;14;11;14;10;10;5;20;6;11;6;19;7;12;18;8;8;10;9;22;15;27;10;14;12;22;10;20;19;18;18;13;12;14;18;13;10;18;6;7;12;12;10;14;11;12;14;11;25;17;9;19;9;12;6;15;19;37;15
five-diamonds;10;10;8;2;8;7;14;11;10;9;11;10;9;10;6;10;0;9;10;10;11;7;10;18;10;8;12;33;9;9;10;7;8;11;16;9;10;7;17;10;9;14;11;8;9;7;18;8;24;7;11;9;20;10;14;16;15;14;11;9;12;14;9;6;12;10;11;9;10;6;11;8;10;9;10;23;11;7;16;8;9;10;12;16;34;11
steal-the-nose;5;7;5;9;8;5;15;6;11;10;5;5;4;5;9;7;9;0;6;5;5;8;12;19;5;2;13;36;10;10;13;7;8;5;18;6;11;5;17;5;9;16;6;5;5;5;19;13;26;8;12;11;22;9;18;18;16;17;10;10;13;16;10;7;15;7;6;10;11;7;12;7;11;10;10;24;15;7;17;8;11;5;13;18;35;15
dont-forget-shot;4;5;6;10;10;6;18;5;12;13;5;5;7;4;10;6;10;6;0;6;5;10;12;21;4;6;14;38;12;11;14;9;9;5;19;5;11;7;19;5;13;17;6;9;10;7;21;14;28;10;14;13;22;10;20;20;18;17;14;12;15;17;12;10;17;4;3;12;13;8;14;9;14;12;11;27;18;8;19;11;13;4;15;19;35;15
three-steps-forward;2;7;7;11;11;5;19;3;12;13;2;1;5;2;11;7;10;5;6;0;2;10;14;23;2;6;16;38;14;11;16;9;10;5;21;1;12;7;22;1;14;19;2;10;9;5;23;16;29;10;15;14;25;11;22;21;19;20;15;14;13;20;14;9;18;6;4;13;13;9;15;10;14;14;11;28;17;9;20;10;13;5;15;21;39;16
turning-right-and-left;2;7;5;11;9;5;19;4;11;13;0;2;5;3;12;7;11;5;5;2;0;9;13;21;3;6;14;38;12;10;14;9;10;3;20;3;12;6;21;3;13;17;2;10;10;6;22;15;29;9;15;13;23;10;21;20;17;20;15;14;15;18;13;10;18;5;2;13;14;9;15;9;13;12;12;27;18;10;18;10;14;4;14;19;38;15
on-yellow-to-left;10;11;5;9;1;8;14;10;6;10;9;10;8;10;9;10;7;8;10;10;9;0;5;18;10;9;8;33;9;6;12;8;9;9;13;10;5;9;19;10;10;11;10;9;9;5;15;10;20;0;8;5;15;9;17;11;9;17;12;11;7;16;11;9;13;10;10;7;7;7;9;8;12;9;8;18;14;9;10;1;7;10;7;11;31;11
slalom-position-testing;12;13;8;11;6;11;16;14;4;12;13;14;12;14;9;11;10;12;12;14;13;5;0;17;14;12;8;33;11;8;10;10;10;11;14;13;3;10;18;14;11;9;14;10;11;9;14;11;22;5;9;7;16;10;16;13;12;16;14;12;8;16;12;11;12;12;12;7;5;10;8;10;11;11;10;18;15;11;10;6;6;12;7;13;29;12
edge-wormholes;22;22;19;17;18;19;14;22;17;15;21;23;20;22;19;22;18;19;21;23;21;18;17;0;22;19;13;24;12;18;11;16;18;21;16;22;17;19;16;22;14;14;23;17;17;21;16;14;18;18;16;16;16;15;7;16;15;14;16;14;19;14;15;16;13;21;21;17;16;15;13;15;15;12;19;18;13;17;12;19;18;21;12;15;26;17
diamond-on-right;2;5;6;10;11;5;19;3;12;13;3;3;5;0;10;7;10;5;4;2;3;10;14;22;0;5;15;38;13;11;15;9;9;5;20;2;12;7;22;1;13;18;3;9;10;5;22;15;29;10;14;13;23;11;21;21;19;19;15;13;14;18;13;9;17;4;2;12;13;8;14;9;14;13;11;28;18;9;20;10;13;3;15;20;37;16
diamonds-in-meteoroid-cloud;5;6;6;8;9;4;16;5;11;10;6;5;3;5;9;7;8;2;6;6;6;9;12;19;5;0;13;35;10;11;12;7;8;6;18;6;11;3;18;5;9;16;6;5;6;6;20;12;27;9;12;11;22;7;18;19;17;16;12;10;13;16;10;7;15;7;6;10;10;7;12;7;12;9;10;26;16;6;18;9;11;5;14;19;35;15
six-diamonds;15;15;9;12;7;13;14;15;6;11;14;16;14;15;12;15;12;13;14;16;14;8;8;13;15;13;0;30;8;10;8;11;12;14;11;15;8;13;17;15;11;6;16;12;12;11;9;11;19;8;7;5;14;12;14;11;8;14;12;12;8;13;12;12;11;14;14;6;8;10;2;11;11;8;11;17;13;12;6;9;8;14;3;10;25;12
cross-2;39;38;36;32;32;36;28;38;32;30;38;39;36;38;33;38;33;36;38;38;38;33;33;24;38;35;30;0;31;33;29;33;34;38;28;39;32;37;30;38;32;28;40;33;31;37;29;29;27;33;31;33;29;33;27;29;28;28;31;31;30;30;31;33;29;38;39;32;32;32;29;33;32;30;33;28;30;34;28;34;31;38;29;29;29;31
big-slalom;13;13;10;10;10;9;12;13;10;7;12;14;11;13;12;14;9;10;12;14;12;9;11;12;13;10;8;31;0;10;10;7;10;12;14;13;11;10;13;13;4;11;14;8;8;12;17;7;24;9;9;9;17;8;11;15;12;10;8;6;13;8;8;8;10;12;12;12;12;6;10;6;6;1;12;20;8;7;13;10;12;12;10;14;32;12
direction-change;11;12;7;10;7;10;17;11;9;11;10;11;9;11;7;11;9;10;11;11;10;6;8;18;11;11;10;33;10;0;14;10;3;11;15;11;8;10;18;11;11;11;11;9;8;7;17;7;23;6;10;9;18;8;16;14;12;17;12;12;10;15;12;10;13;11;11;10;10;10;11;7;11;10;3;22;15;8;14;7;9;12;10;14;32;5
bouncing-from-edge;14;14;13;11;12;12;12;16;9;10;14;16;13;15;12;14;10;13;14;16;14;12;10;11;15;12;8;29;10;14;0;11;13;14;13;15;11;11;16;15;8;12;16;10;13;14;15;11;21;12;12;7;16;12;11;12;14;15;13;8;12;11;10;10;13;14;14;11;11;10;7;12;10;10;14;18;13;12;12;12;11;14;7;14;28;14
plan-your-shooting;9;10;8;8;9;6;15;8;7;8;9;8;5;9;10;10;7;7;9;9;9;8;10;16;9;7;11;33;7;10;11;0;9;10;17;9;9;6;17;9;8;15;9;7;8;7;20;12;25;8;11;10;21;7;14;17;15;15;11;9;12;13;9;3;14;9;10;9;10;4;11;8;7;7;10;23;12;6;16;8;10;9;11;17;36;12
yellow-hint;9;9;7;9;9;8;17;9;9;10;10;10;9;9;6;10;8;8;9;10;10;9;10;18;9;8;12;34;10;3;13;9;0;10;15;10;8;9;19;9;11;12;10;8;7;5;16;8;23;9;9;10;19;8;17;17;14;17;12;12;11;15;9;8;12;9;10;10;10;7;11;6;11;10;4;23;16;6;15;9;9;9;12;16;32;8
diamond-path;4;5;6;11;10;5;18;5;12;13;3;5;6;5;11;5;11;5;5;5;3;9;11;21;5;6;14;38;12;11;14;10;10;0;20;5;12;5;21;5;12;17;5;9;10;6;22;15;28;9;15;12;21;11;20;19;17;20;15;13;15;17;13;11;18;4;3;13;14;9;15;10;13;12;12;25;18;10;18;10;14;3;14;17;37;16
colorful-flowers;20;19;15;15;13;18;15;20;13;15;20;21;19;20;15;20;16;18;19;21;20;13;14;16;20;18;11;28;14;15;13;17;15;20;0;20;13;19;19;20;16;13;21;17;16;16;10;15;12;13;9;10;10;17;15;4;10;16;16;16;14;17;14;17;16;19;20;14;13;16;10;16;17;14;14;17;16;17;9;14;13;19;11;10;23;16
turning-left;1;6;7;10;11;4;20;3;12;13;3;2;5;2;10;6;9;6;5;1;3;10;13;22;2;6;15;39;13;11;15;9;10;5;20;0;11;6;21;1;13;18;2;9;10;5;22;15;29;10;15;13;24;10;21;21;19;19;14;13;14;19;13;9;18;5;4;13;13;9;15;10;13;13;11;28;17;9;20;10;13;4;15;21;38;15
chessboard;11;11;8;11;6;9;17;12;3;12;12;12;10;12;9;11;10;11;11;12;12;5;3;17;12;11;8;32;11;8;11;9;8;12;13;11;0;10;18;12;10;10;12;9;9;7;14;11;21;5;9;7;16;10;16;14;12;17;14;11;5;16;12;10;14;11;12;7;4;8;7;10;11;11;8;18;16;9;12;5;5;11;5;14;29;11
find-the-path;5;7;6;8;9;3;17;6;9;10;6;6;3;7;9;6;7;5;7;7;6;9;10;19;7;3;13;37;10;10;11;6;9;5;19;6;10;0;17;7;9;16;7;6;9;6;21;13;27;9;13;10;21;8;16;18;17;16;12;10;13;14;11;6;16;6;6;11;11;6;13;7;9;10;10;24;15;6;17;8;11;5;14;18;36;14
arrow;21;18;20;17;18;19;16;22;18;13;21;22;20;22;17;19;17;17;19;22;21;19;18;16;22;18;17;30;13;18;16;17;19;21;19;21;18;17;0;22;13;18;23;14;16;21;18;16;23;19;18;17;20;15;16;19;14;12;10;12;18;9;14;16;17;20;22;19;20;16;18;14;11;14;18;23;13;16;17;19;19;20;17;16;29;15
turning-right;2;6;6;10;11;5;20;2;12;13;3;2;5;1;10;7;10;5;5;1;3;10;14;22;1;5;15;38;13;11;15;9;9;5;20;1;12;7;22;0;13;18;2;9;10;5;22;15;29;10;14;13;24;11;21;21;19;19;15;13;14;19;13;9;17;5;3;12;13;8;14;9;14;13;11;28;18;9;20;10;13;4;15;21;38;16
double-bend;12;13;11;10;10;9;11;14;11;6;13;14;10;13;10;12;9;9;13;14;13;10;11;14;13;9;11;32;4;11;8;8;11;12;16;13;10;9;13;13;0;13;14;4;8;12;16;9;24;10;10;7;17;8;11;15;13;10;9;4;13;8;6;8;11;13;13;11;12;8;11;8;7;5;12;20;10;8;16;10;12;12;11;14;30;13
edge-to-edge;18;18;12;14;10;16;18;18;11;14;17;19;17;18;14;18;14;16;17;19;17;11;9;14;18;16;6;28;11;11;12;15;12;17;13;18;10;16;18;18;13;0;19;15;14;14;12;10;21;11;10;10;16;14;17;14;11;16;14;14;12;16;14;14;7;17;17;7;12;14;6;13;14;11;13;18;16;15;11;12;12;17;8;13;26;12
one-step-forward;2;8;7;12;11;5;21;4;12;14;2;2;5;3;12;8;11;6;6;2;2;10;14;23;3;6;16;40;14;11;16;9;10;5;21;2;12;7;23;2;14;19;0;10;11;5;23;16;30;10;15;14;25;11;22;21;19;21;16;14;15;20;14;10;19;6;4;13;13;9;15;10;14;14;12;28;19;9;20;10;13;5;15;21;39;16
diamond-cross;8;9;9;8;9;7;14;10;10;7;10;10;7;9;6;8;8;5;9;10;10;9;10;17;9;5;12;33;8;9;10;7;8;9;17;9;9;6;14;9;4;15;10;0;6;9;18;11;25;9;11;9;19;6;14;17;15;13;8;6;13;12;6;7;13;10;10;9;10;6;11;5;8;7;10;22;13;5;17;9;10;8;13;16;31;12
stairs;10;10;9;10;9;8;14;10;10;7;10;10;7;10;11;10;9;5;10;9;10;9;11;17;10;6;12;31;8;8;13;8;7;10;16;10;9;9;16;10;8;14;11;6;0;9;18;12;24;9;10;11;20;7;16;18;14;13;8;9;10;13;8;8;13;10;11;11;11;6;11;6;9;7;8;23;12;5;16;9;9;10;13;16;33;13
direct-flight-ahead;5;8;2;8;6;4;19;5;7;12;6;5;4;5;9;9;7;5;7;5;6;5;9;21;5;6;11;37;12;7;14;7;5;6;16;5;7;6;21;5;12;14;5;9;9;0;18;13;25;5;10;9;20;10;19;16;14;19;14;13;10;18;12;8;16;6;6;8;8;7;10;9;12;12;7;23;17;7;15;5;8;6;10;16;34;12
diagonal-diamonds;22;21;17;17;14;20;16;22;15;16;22;23;20;22;18;22;18;19;21;23;22;15;14;16;22;20;9;29;17;17;15;20;16;22;10;22;14;21;18;22;16;12;23;18;18;18;0;17;12;15;12;11;14;20;16;11;12;16;16;17;13;18;15;19;15;21;22;13;14;18;9;19;19;17;17;15;15;19;11;16;14;21;11;12;17;18
color-slalom;15;15;11;8;11;12;12;15;12;12;15;16;14;15;9;15;8;13;14;16;15;10;11;14;15;12;11;29;7;7;11;12;8;15;15;15;11;13;16;15;9;10;16;11;12;13;17;0;22;10;10;11;18;11;13;16;12;12;13;9;14;14;12;12;9;15;15;12;12;11;12;10;12;8;10;22;11;12;14;11;12;14;12;14;30;8
two-bit-instructions;28;27;25;25;20;27;18;28;22;24;29;28;27;29;24;27;24;26;28;29;29;20;22;18;29;27;19;27;24;23;21;25;23;28;12;29;21;27;23;29;24;21;30;25;24;25;12;22;0;20;15;17;14;26;18;13;15;22;23;23;20;23;24;24;23;29;30;21;21;25;18;26;25;24;23;18;23;26;16;20;21;28;20;15;16;24
two-diamonds;10;11;5;9;1;8;14;10;6;10;9;10;8;10;9;10;7;8;10;10;9;0;5;18;10;9;8;33;9;6;12;8;9;9;13;10;5;9;19;10;10;11;10;9;9;5;15;10;20;0;8;5;15;9;17;11;9;17;12;11;7;16;11;9;13;10;10;7;7;7;9;8;12;9;8;18;14;9;10;1;7;10;7;11;31;11
red-shooting;14;13;10;12;7;13;14;13;8;12;15;14;13;14;11;14;11;12;14;15;15;8;9;16;14;12;7;31;9;10;12;11;9;15;9;15;9;13;18;14;10;10;15;11;10;10;12;10;15;8;0;5;12;13;15;11;7;14;12;11;10;15;12;10;13;14;15;8;7;11;7;12;13;9;10;17;13;11;10;7;6;14;8;9;25;13
diamonds-on-yellow;12;13;8;11;6;11;11;14;7;11;13;14;12;13;10;12;9;11;13;14;13;5;7;16;13;11;5;33;9;9;7;10;10;12;10;13;7;10;17;13;7;10;14;9;11;9;11;11;17;5;5;0;13;11;12;8;9;15;13;8;9;13;11;10;15;13;13;8;8;10;5;11;11;9;9;16;14;11;9;6;7;12;5;9;26;12
diagonal-lines;23;21;18;20;15;22;17;24;16;19;23;25;23;23;16;22;20;22;22;25;23;15;16;16;23;22;14;29;17;18;16;21;19;21;10;24;16;21;20;24;17;16;25;19;20;20;14;18;14;15;12;13;0;19;13;8;10;19;21;17;17;19;19;21;19;22;22;18;17;20;15;19;19;17;18;14;18;21;13;16;17;22;14;10;23;18
clean-your-path;10;10;10;10;10;7;16;10;11;9;10;10;8;11;9;10;10;9;10;11;10;9;10;15;11;7;12;33;8;8;12;7;8;11;17;10;10;8;15;11;8;14;11;6;7;10;20;11;26;9;13;11;19;0;14;17;15;14;12;9;13;12;9;8;13;9;10;12;12;8;13;4;8;8;10;23;13;5;17;10;12;9;11;17;34;11
triple-steps;20;20;18;15;16;18;13;22;16;12;21;22;19;21;16;20;14;18;20;22;21;17;16;7;21;18;14;27;11;16;11;14;17;20;15;21;16;16;16;21;11;17;22;14;16;19;16;13;18;17;15;12;13;14;0;14;16;15;15;11;17;12;13;16;15;21;21;17;17;15;15;15;11;11;17;14;12;15;15;17;17;20;15;16;27;17
color-navigation;20;20;16;17;11;19;12;21;13;15;20;21;19;21;15;19;16;18;20;21;20;11;13;16;21;19;11;29;15;14;12;17;17;19;4;21;14;18;19;21;15;14;21;17;18;16;11;16;13;11;11;8;8;17;14;0;7;16;16;15;14;17;16;17;18;20;21;15;14;18;11;17;16;15;15;16;16;18;8;12;14;20;11;7;23;15
follow-colors;19;19;13;16;8;17;13;19;12;13;17;19;17;19;14;18;15;16;18;19;17;9;12;15;19;17;8;28;12;12;14;15;14;17;10;19;12;17;14;19;13;11;19;15;14;14;12;12;15;9;7;9;10;15;16;7;0;13;12;13;12;13;14;15;16;18;18;12;13;15;9;15;14;12;13;17;15;16;8;10;12;18;9;2;25;13
meteoroids-on-left;19;17;18;13;16;16;12;20;18;12;20;20;18;19;14;18;14;17;17;20;20;17;16;14;19;16;14;28;10;17;15;15;17;20;16;19;17;16;12;19;10;16;21;13;13;19;16;12;22;17;14;15;19;14;15;16;13;0;11;8;17;9;12;14;13;19;20;16;17;15;15;15;12;11;16;21;6;14;15;18;16;19;15;15;29;15
collect-diamonds;14;15;14;11;12;13;16;15;13;6;15;15;13;15;12;13;11;10;14;15;15;12;14;16;15;12;12;31;8;12;13;11;12;15;16;14;14;12;10;15;9;14;16;8;8;14;16;13;23;12;12;13;21;12;15;16;12;11;0;10;14;9;6;9;13;15;16;11;13;10;11;10;6;8;11;22;12;9;16;12;13;15;13;14;30;13
diamond-ring;12;12;12;10;11;10;12;14;12;8;14;14;12;13;9;12;9;10;12;14;14;11;12;14;13;10;12;31;6;12;8;9;12;13;16;13;11;10;12;13;4;14;14;6;9;13;17;9;23;11;11;8;17;9;11;15;13;8;10;0;13;10;8;9;13;14;14;11;12;9;12;10;8;6;13;20;8;9;16;11;12;12;12;15;31;14
maneuvers-on-left;15;14;11;13;7;12;16;13;6;13;15;13;12;14;12;14;12;13;15;13;15;7;8;19;14;13;8;30;13;10;12;12;11;15;14;14;5;13;18;14;13;12;15;13;10;10;13;14;20;7;10;9;17;13;17;14;12;17;14;13;0;18;14;11;14;15;16;7;6;11;7;13;14;13;9;17;15;12;11;6;5;15;7;14;29;14
zig-zag-plus;18;17;16;15;16;15;14;19;15;8;18;20;17;18;15;18;14;16;17;20;18;16;16;14;18;16;13;30;8;15;11;13;15;17;17;19;16;14;9;19;8;16;20;12;13;18;18;14;23;16;15;13;19;12;12;17;13;9;9;10;18;0;9;13;14;17;17;15;17;13;15;11;8;9;16;20;11;13;15;16;17;17;15;15;30;14
triangle;13;12;12;10;12;10;15;13;12;3;13;14;11;13;11;13;9;10;12;14;13;11;12;15;13;10;12;31;8;12;10;9;9;13;14;13;12;11;14;13;6;14;14;6;8;12;15;12;24;11;12;11;19;9;13;16;14;12;6;8;14;9;0;8;12;12;13;11;12;8;11;7;6;7;11;22;11;8;17;12;12;12;12;15;29;11
rectangle;10;9;9;7;10;7;15;8;9;8;10;8;6;9;10;10;6;7;10;9;10;9;11;16;9;7;12;33;8;10;10;3;8;11;17;9;10;6;16;9;8;14;10;7;8;8;19;12;24;9;10;10;21;8;16;17;15;14;9;9;11;13;8;0;14;10;11;7;10;3;10;7;7;8;9;23;12;6;16;9;10;10;11;17;35;12
wave;18;17;15;12;14;14;14;17;14;13;18;18;15;17;13;18;12;15;17;18;18;13;12;13;17;15;11;29;10;13;13;14;12;18;16;18;14;16;17;17;11;7;19;13;13;16;15;9;23;13;13;15;19;13;15;18;16;13;13;13;14;14;12;14;0;17;18;12;14;14;12;12;14;11;13;21;12;14;15;14;13;17;13;18;27;14
surrounded-diamond;5;5;7;11;11;5;19;5;12;13;5;6;7;4;11;6;10;7;4;6;5;10;12;21;4;7;14;38;12;11;14;9;9;4;19;5;11;6;20;5;13;17;6;10;10;6;21;15;29;10;14;13;22;9;21;20;18;19;15;14;15;17;12;10;17;0;3;13;13;8;14;9;13;12;12;27;18;9;19;11;13;3;14;19;36;14
plus;3;6;5;11;10;5;19;4;13;14;2;4;6;2;12;7;11;6;3;4;2;10;12;21;2;6;14;39;12;11;14;10;10;3;20;4;12;6;22;3;13;17;4;10;11;6;22;15;30;10;15;13;22;10;21;21;18;20;16;14;16;17;13;11;18;3;0;13;14;9;15;9;14;12;13;27;19;10;19;11;14;3;15;19;37;15
meteoroids-and-wormholes;12;11;8;9;7;11;18;12;6;11;13;12;11;12;9;12;9;10;12;13;13;7;7;17;12;10;6;32;12;10;11;9;10;13;14;13;7;11;19;12;11;7;13;9;11;8;13;12;21;7;8;8;18;12;17;15;12;16;11;11;7;15;11;7;12;13;13;0;6;9;4;12;12;12;9;20;15;10;12;7;6;12;8;14;29;13
letter-h;13;12;9;10;7;11;17;11;4;12;14;12;11;13;10;12;10;11;13;13;14;7;5;16;13;10;8;32;12;10;11;10;10;14;13;13;4;11;20;13;12;12;13;10;11;8;14;12;21;7;7;8;17;12;17;14;13;17;13;12;6;17;12;10;14;13;14;6;0;10;7;12;13;12;9;19;15;10;12;6;3;12;6;14;30;14
stripes;8;9;8;7;8;6;15;8;8;9;9;9;6;8;10;10;6;7;8;9;9;7;10;15;8;7;10;32;6;10;10;4;7;9;16;9;8;6;16;8;8;14;9;6;6;7;18;11;25;7;11;10;20;8;15;18;15;15;10;9;11;13;8;3;14;8;9;9;10;0;10;5;7;6;10;23;13;4;15;7;10;8;11;17;34;12
narrow-passage;14;14;10;11;8;13;15;14;7;11;15;15;13;14;11;14;11;12;14;15;15;9;8;13;14;12;2;29;10;11;7;11;11;15;10;15;7;13;18;14;11;6;15;11;11;10;9;12;18;9;7;5;15;13;15;11;9;15;11;12;7;15;11;10;12;14;15;4;7;10;0;13;12;10;10;18;15;12;8;9;7;14;4;11;25;13
